Gene;P-I;P-II;P-III;A-I;A-II;A-III;S-I;S-II;S-III
Adamts8;8.570171059;1.001880165;5.146124798;1.565947575;10.57915889;12.72824441;9.082512408;8.462271242;26.77056718
Zbtb44;397.9007992;336.6317354;330.6385183;350.7722568;426.3401034;355.2840396;345.1354715;376.1009441;262.1669338
St14;95.4961918;128.2406611;104.2090272;89.25901177;78.28577581;89.6511128;92.33887615;114.7107879;84.00419357
Aplp2;1540.18217;1616.032706;1572.141126;1813.367292;1709.592077;1836.187607;1413.844432;1502.523272;1333.912744
4930517E14Rik;2.448620303;3.005640495;3.859593599;5.480816512;10.57915889;3.873813516;0;1.88050472;2.769369019
Prdm10;61.21550756;75.14101237;61.75349758;60.28898164;64.53286925;58.66060467;36.33004963;48.89312273;38.77116626
Nfrkb;173.8520415;194.364752;164.6759935;155.8117837;137.5290656;171.5545986;177.108992;172.0661819;128.3140979
Tmem45b;0;9.016921485;3.859593599;2.348921362;0;3.873813516;3.027504136;0;5.538738037
Barx2;1.224310151;8.01504132;2.573062399;20.35731847;21.15831779;24.34968496;75.6876034;61.11640341;63.69548743
Arhgap32;96.72050195;51.09588841;63.04002878;69.68466709;52.89579447;76.36946646;96.88013235;86.50321714;87.69668559
Kcnj5;12.24310151;7.013161155;7.719187197;5.480816512;7.405411225;6.087421239;6.055008272;9.402523602;0.923123006
Gm39317;0;0;0;0.782973787;0;1.660205793;1.513752068;4.701261801;0
Fli1;69.78567862;55.10340907;57.89390398;106.4844351;78.28577581;75.81606452;155.916463;217.1982952;128.3140979
Ets1;295.0587465;280.5264462;234.1486783;300.6619344;251.7839817;297.7302388;549.4920007;583.8967157;514.1795145
Kirrel3;48.97240605;42.07896693;55.32084158;51.67626997;72.99619636;40.95174288;59.03633065;42.31135621;83.08107056
Kirrel3os;0;0;0;0.782973787;3.173747668;1.106803862;0;1.88050472;1.846246012
St3gal4;91.82326134;121.2275;101.6359648;73.59953602;90.98076648;75.81606452;107.4763968;111.8900309;76.61920952
4930581F22Rik;51.42102635;53.09964874;41.16899838;29.75300392;43.37455146;28.7769004;34.81629756;35.72958969;33.23242822
Dcps;571.7528406;510.9588841;638.119475;664.7447456;647.4445243;652.4608765;762.9310423;626.2080719;721.8821909
Tirap;186.095143;205.3854338;196.8392735;180.8669449;185.1352806;197.0110874;221.0078019;209.6762763;163.3927721
Srpr;421.162692;474.8911982;420.6957022;417.3250287;340.6489164;374.6531072;372.3830087;297.1197458;264.0131798
Foxred1;145.692908;147.2763842;165.9625247;121.3609371;148.1082245;136.136875;148.3477027;110.9497785;152.315296
Fam118b;646.4357599;628.1788634;662.5635678;739.9102292;846.3327115;739.3449796;737.1972571;827.422077;794.8089084
Rpusd4;203.2354851;271.5095247;235.4352095;183.2158663;170.3244582;221.9141743;211.9252895;210.6165287;188.3170933
4933422A05Rik;1.224310151;4.00752066;0;9.39568545;0;3.320411585;0;3.761009441;1.846246012
Cdon;253.4322013;360.6768594;299.7617695;198.0923682;251.7839817;258.9921036;348.1629756;456.9626471;317.5543141
Ddx25;88.15033089;85.15981402;115.787808;107.2674089;87.80701882;115.6610035;121.1001654;133.5158352;122.7753598
Pus3;301.1802972;260.4888429;209.7045855;317.8873577;286.695206;308.2448755;316.3741822;299.0002506;312.9386991
Hyls1;56.31826696;64.12033056;54.03431038;62.637903;82.51743937;55.34019308;54.49507445;69.57867466;62.77236442
Pate2;24.48620303;22.04136363;7.719187197;32.88489907;25.38998134;19.92246951;16.65127275;18.8050472;17.53933712
Pate13;0;5.009400825;0;4.697842725;3.173747668;2.213607723;4.541256204;15.04403776;2.769369019
Chek1;1049.2338;884.6601857;1072.96702;953.6620731;818.8268984;1017.152749;1076.27772;1065.305924;1011.742815
Stt3a;1090.860345;1076.019297;1183.608704;1025.695662;1105.522104;1198.668582;1247.331704;1229.850087;1029.282152
Gm26787;4.897240605;3.005640495;2.573062399;4.697842725;4.231663557;2.213607723;0;3.761009441;0
Ei24;745.6048821;797.4966113;811.8011869;759.4845739;757.4677768;759.820851;802.2885961;849.0478813;771.7308332
Fez1;11.01879136;16.03008264;11.5787808;55.59113891;57.12745802;47.03916412;177.108992;192.7517338;187.3939703
Pknox2;301.1802972;402.7558263;429.7014206;1201.08179;1322.394862;1323.184017;1649.989754;1695.275005;1701.3157
Tmem218;124.8796354;113.2124586;140.2319007;105.7014613;90.98076648;99.05894562;78.71510754;99.66675018;126.4678519
Slc37a2;94.27188165;68.12785122;65.61309118;77.51440496;97.32826182;81.35008383;80.22885961;134.4560875;110.7747607
Ccdc15;24.48620303;13.02444214;15.43837439;9.39568545;12.69499067;22.13607723;27.24753722;14.1037854;9.231230062
Gm34885;0;0;0;0;3.173747668;3.320411585;0;9.402523602;0
Robo4;34.28068424;58.10904957;51.46124798;59.50600785;63.47495336;45.93236026;40.87130584;54.53463689;24.92432117
Msantd2;647.66007;589.105537;672.8558174;676.4893524;588.2012345;591.5866641;644.858381;657.2363998;583.4137399
Esam;254.6565115;266.5001239;214.8507103;275.6067732;301.5060285;283.3417886;336.0529591;514.318041;399.7122617
Vsig2;2.448620303;4.00752066;0;0;4.231663557;2.213607723;0;1.88050472;4.615615031
Nrgn;107.7392933;82.15417353;108.0686208;79.86332632;42.31663557;56.44699695;43.89880997;57.35539397;59.0798724
Siae;75.90722938;46.08648759;68.18615358;49.32734861;52.89579447;78.58307418;31.78879343;99.66675018;60.92611841
Spa17;26.93482333;10.01880165;30.87674879;25.0551612;33.85330846;24.34968496;30.27504136;26.32706609;29.5399362
Tbrg1;809.26901;894.6789873;834.9587485;770.4462069;966.9351229;769.2286839;832.5636374;771.0069354;1024.666537
Olfr160;6.121550756;0;0;0;0;1.106803862;6.055008272;1.88050472;1.846246012
Olfr874;0;3.005640495;2.573062399;0;0;0.553401931;0;5.641514161;0
Olfr876;0;6.01128099;1.2865312;1.565947575;0;2.767009654;0;3.761009441;1.846246012
Olfr877;0;0;0;1.565947575;7.405411225;1.660205793;0;0.94025236;0.923123006
Olfr145;1.224310151;0;0;0;0;3.873813516;0;1.88050472;0
Olfr878;0;5.009400825;1.2865312;0;0;4.427215447;0;1.88050472;0
Olfr881;0;0;6.432655998;0.782973787;1.057915889;2.213607723;0;4.701261801;1.846246012
Olfr887;0;0;2.573062399;0.782973787;0;4.427215447;0;0.94025236;0
Olfr889;47.7480959;15.02820247;25.73062399;24.27218741;24.33206545;35.9711255;18.16502482;35.72958969;24.00119816
Olfr890;4.897240605;2.00376033;5.146124798;0.782973787;0;0;0;7.522018882;0
Olfr898;1.224310151;0;14.15184319;0;0;2.213607723;7.56876034;4.701261801;0
Olfr250;0;0;5.146124798;0;1.057915889;2.213607723;3.027504136;7.522018882;0.923123006
Olfr251;0;8.01504132;6.432655998;0.782973787;0;0;0;4.701261801;2.769369019
Olfr147;0;0;0;0;0;6.087421239;0;0.94025236;0.923123006
Olfr904;0;0;0;0;1.057915889;0;0;8.462271242;0
Olfr905;0;0;0;1.565947575;0;3.873813516;0;1.88050472;2.769369019
Olfr907;1.224310151;5.009400825;0;5.480816512;0;4.980617378;3.027504136;15.98429012;0
Olfr910;4.897240605;2.00376033;7.719187197;0;0;0;0;3.761009441;0
Olfr912;4.897240605;3.005640495;1.2865312;3.13189515;1.057915889;6.087421239;6.055008272;7.522018882;2.769369019
Olfr916;4.897240605;0;0;0;0;0.553401931;0;6.581766522;0
