sample,Gene,Z-score,group,replicate
P-I,Aifm1,-0.303552114728679,Posterior,1
P-I,Aifm2,0.759262224515299,Posterior,1
P-I,Aim2,-0.6126340364683668,Posterior,1
P-I,Aimp1,-1.294818758732971,Posterior,1
P-I,Aimp2,0.6307512935684607,Posterior,1
P-I,Aip,0.29766419691333307,Posterior,1
P-I,Airim,0.0613409190553309,Posterior,1
P-I,Ajuba,-0.5983107120391166,Posterior,1
P-I,Ak1,1.2286545633040038,Posterior,1
P-I,Ak2,-1.1636514983861825,Posterior,1
P-I,Ak3,-1.120060511239095,Posterior,1
P-I,Ak4,-1.7482826918920522,Posterior,1
P-I,Ak5,-1.900282957621909,Posterior,1
P-I,Ak6,-0.833195830528514,Posterior,1
P-I,Akap1,-1.0629107451327655,Posterior,1
P-I,Akap10,0.4354848459154688,Posterior,1
P-I,Akap11,-0.1693375957512361,Posterior,1
P-I,Akap12,0.8844048590469927,Posterior,1
P-I,Akap13,1.0805343809164099,Posterior,1
P-I,Akap17a,0.886133974536347,Posterior,1
P-I,Akap17b,0.03308277762893984,Posterior,1
P-I,Akap5,0.8869688496630563,Posterior,1
P-I,Akap7,0.7971965344646744,Posterior,1
P-I,Akap8,1.2056687976321605,Posterior,1
P-I,Akap8l,0.08657937896354118,Posterior,1
P-I,Akap9,1.1090295067671856,Posterior,1
P-I,Akirin1,0.5462187736936926,Posterior,1
P-I,Akirin2,0.5239107095842502,Posterior,1
P-I,Akna,-0.2958757709956521,Posterior,1
P-I,Akr1a1,-1.9183107721845576,Posterior,1
P-I,Akr1b1,-1.6212554621677548,Posterior,1
P-I,Akr1b10,0.19120072289991677,Posterior,1
P-I,Akr1b8,0.6273566368613039,Posterior,1
P-I,Akr1c13,0.4629501772772759,Posterior,1
P-I,Akr1c18,-0.7324591569446489,Posterior,1
P-I,Akr1c19,-2.0026233337667643,Posterior,1
P-I,Akr1e2,-1.024378385839341,Posterior,1
P-I,Akr7a2,-0.9466026091852917,Posterior,1
P-I,Akt1,-0.00023348593577378262,Posterior,1
P-I,Akt1s1,-1.9023593091828872,Posterior,1
P-I,Akt2,-2.20262490739469,Posterior,1
P-I,Akt3,-1.6438966150195065,Posterior,1
P-I,Aktip,0.9086278663823458,Posterior,1
P-I,Alad,-0.8710566360003937,Posterior,1
P-I,Alas1,-0.5851560948842572,Posterior,1
P-I,Alas2,-0.7902174880942383,Posterior,1
P-I,Alb,-0.13400502342391166,Posterior,1
P-I,Alcam,0.6810878443012132,Posterior,1
P-I,Aldh16a1,-1.6118635334086235,Posterior,1
P-I,Aldh18a1,0.2909276543568865,Posterior,1
P-I,Aldh1a2,-1.5423125220320653,Posterior,1
P-I,Aldh1a7,-0.01358757532285351,Posterior,1
P-I,Aldh1b1,1.158042175838061,Posterior,1
